lat,lng
40.090806,113.332453
40.0877132,113.29471
40.052821,113.291252
40.0512529,113.331912
40.0410329,113.177732
40.0316382,98.8306285
40.0250902,116.405902
40.0221776,117.410317
40.0152152,116.459833
40.009338,119.768676
40.0086697,116.366446
39.997293,109.904505
39.9964226,116.402964
39.9699059,116.42975
39.9698876,116.79215
39.9588482,116.282116
39.9570853,116.473918
39.9556127,116.831234
39.952426,116.779238
39.9518186,116.354813
39.9460817,119.567102
39.9407262,116.346987
39.9357564,116.510339
39.934881,119.533288
39.9343652,116.107401
39.918686,116.437186
39.9168078,116.446171
39.9137677,116.499494
39.9072977,111.675819
39.8951355,116.413013
39.8903761,116.681871
39.8844849,124.143949
39.8787868,119.243598
39.87047,116.358802
39.865121,116.300024
39.8323583,119.476075
39.8262177,118.111555
39.8225165,110.037603
39.8175455,109.96428
39.8125823,116.448596
39.7979217,116.559855
39.7621107,116.207373
39.7617825,116.956845
39.7505175,117.022948
39.7338616,116.133147
39.7213324,117.313255
39.7113903,117.30588
39.704955,117.290252
39.6981243,113.691134
39.6918209,115.981363
39.6714713,106.819297
39.6563227,118.18648
39.6384959,118.134901
39.6233709,118.169979
39.607928,118.175314
39.607928,118.175314
39.58976,118.131708
39.5578983,113.184674
39.5572552,118.080468
39.5494819,116.712394
39.5144216,115.962462
39.4836364,115.970192
39.483108,116.02627
39.482902,116.024384
39.4388971,114.233144
39.4388491,114.233173
39.4369644,116.307452
39.3997599,121.960723
39.3997599,121.960723
39.3927155,115.680549
39.3789926,99.8185273
39.3775276,111.167672
39.3516968,115.495981
39.3347868,112.414956
39.3256366,115.865501
39.3120884,115.882748
39.2628696,115.794073
39.2319965,118.986914
39.2092515,106.768599
39.1548491,117.181225
39.151486,100.160291
39.1496673,117.162566
39.1392374,117.182954
39.1200657,117.249801
39.1183309,117.186942
39.1159381,117.07563
39.0985393,117.217418
39.0943545,117.169059
39.0924274,117.178636
39.0833859,122.000284
39.0765418,117.173706
39.0682329,116.698349
39.0675897,117.275731
39.0667919,116.699092
39.0650389,116.701638
39.0616648,117.625814
39.0191277,117.715633
39.0170572,121.591019
39.0135518,115.645207
39.012693,117.68761
39.00558,121.622986
38.9957661,117.673947
38.9840693,116.091971
38.9733253,121.509734
38.9513993,121.516084
38.944528,117.318989
38.94098,116.922683
38.9382147,115.349945
38.9346274,116.963981
38.9344874,116.916339
38.9188686,121.551267
38.9172461,117.429237
38.9136232,115.48021
38.9130515,121.469982
38.8683874,115.48553
38.8679664,115.49206
38.8591094,115.483368
38.8562006,117.488986
38.8435407,117.447618
38.8435407,117.447618
